Go.	යන්න.
We live in the age of technology.	අප ජීවත් වන්නේ තාක්ෂණික යුගයේ ය.
We look up to him as our teacher.	අපි ඔහුව අපේ ගුරුවරයා ලෙස සලකමු.
We received some new information.	අපිට අලුත් තොරතුරු ටිකක් ලැබුණා.
We should have been more careful.	අපි මීට වඩා පරිස්සම් වෙන්න තිබුණා.
We still have a lot of food left.	අපිට තව කෑම ගොඩක් ඉතුරුයි.
We talked about yesterday's test.	අපි ඊයේ පරීක්ෂණය ගැන කතා කළා.
We talked over the plan with him.	අපි ඔහු සමඟ සැලැස්ම ගැන කතා කළා.
We talked the plan over with him.	අපි ඔහු සමඟ සැලැස්ම කතා කළා.
We went back to camp before dark.	අඳුර වැටෙන්න කලින් අපි ආපහු කඳවුරට ගියා.
We went out in spite of the rain.	වැස්ස නොතකා අපි එළියට ගියා.
We'd like you to sing some songs.	ඔබ ගීත කිහිපයක් ගායනා කරනවාට අපි කැමතියි.
We'll never forget your kindness.	ඔබගේ කරුණාව අපට කිසිදා අමතක නොවේ.
We'll take you there if you want.	ඔබට අවශ්‍ය නම් අපි ඔබව එහි රැගෙන යන්නෙමු.
We're going to have a test today.	අපි අද පරීක්ෂණයක් කරන්න යනවා.
We've just spent two weeks apart.	අපි සති දෙකක පරතරයක් ගත කළා විතරයි.
We've walked all around the lake.	අපි වැව වටේ ඇවිද්දා.
What an interesting book this is!	මෙය මොනතරම් රසවත් පොතක්ද!
What are you doing for Christmas?	නත්තලට මොකද කරන්නේ?
What are you going to do with it?	ඒකට මොකද කරන්න යන්නේ?
What did you eat for lunch today?	අද දවල්ට මොනවද කෑවේ?
What did you major in at college?	ඔබ විද්‍යාලයේ ප්‍රධාන කළේ කුමක් ද?
What do you do in your free time?	ඔබේ නිදහස් කාලය තුළ ඔබ කරන්නේ කුමක්ද?
What do you say to taking a rest?	විවේකයක් ගැනීමට ඔබ කියන්නේ කුමක්ද?
What do you think is in this box?	ඔබ සිතන්නේ මෙම පෙට්ටියේ ඇත්තේ කුමක්ද?
What do you think of my new coat?	මගේ අලුත් කබාය ගැන ඔබ සිතන්නේ කුමක්ද?
What do you think of these shoes?	මෙම සපත්තු ගැන ඔබ සිතන්නේ කුමක්ද?
What he needs most is a good job.	ඔහුට වඩාත්ම අවශ්‍ය වන්නේ හොඳ රැකියාවකි.
What is it that you're afraid of?	ඔබ බිය වන්නේ කුමක් ද?
What is the population of France?	ප්රංශයේ ජනගහනය කොපමණද?
What languages do you speak, Tom?	ඔබ කතා කරන භාෂා මොනවාද, ටොම්?
What on earth are you looking at?	ඔයා මොනවද දෙයියනේ බලන්නේ?
What should I do to stop hiccups?	ඉක්කාව නැවැත්වීමට මා කළ යුත්තේ කුමක්ද?
What time do you arrive tomorrow?	ඔයා හෙට කීයටද එන්නේ?
What time do you usually turn in?	ඔබ සාමාන්‍යයෙන් හැරෙන්නේ කීයටද?
What time does the meeting start?	රැස්වීම ආරම්භ වන්නේ කීයටද?
What time shall we meet tomorrow?	අපි හෙට කීයට මුණගැහෙමුද?
What train you are going to take?	ඔබ යාමට යන්නේ කුමන දුම්රියද?
What unanswered questions remain?	පිළිතුරු නැති ප්‍රශ්න මොනවාද?
What would you like to be called?	ඔබ හඳුන්වනු ලැබීමට කැමති කුමක්ද?
What would you like to eat today?	ඔබ අද කන්න කැමති මොනවාද?
What you said doesn't make sense.	ඔයා කියපු දේ තේරුමක් නෑ.
What's on the schedule for today?	අද කාලසටහනේ මොනවද තියෙන්නේ?
What's the name of your pharmacy?	ඔබේ ෆාමසියේ නම කුමක්ද?
What's the purpose of your visit?	ඔබගේ පැමිණීමේ අරමුණ කුමක්ද?
What's your favorite French wine?	ඔබේ ප්‍රියතම ප්‍රංශ වයින් මොනවාද?
What's your favorite kind of art?	ඔබ කැමතිම කලාව කුමක්ද?
What's your favorite music group?	ඔබේ ප්‍රියතම සංගීත කණ්ඩායම කුමක්ද?
What's your favorite summer food?	ඔබේ ප්රියතම ගිම්හාන ආහාරය කුමක්ද?
What's your favorite thing to do?	කරන්න කැමතිම දේ මොකක්ද?
What's your mother's maiden name?	ඔබේ මවගේ මංගල නම කුමක්ද?
When I woke up, I was in the car.	මට ඇහැරෙනකොට මම හිටියේ කාර් එකේ.
When can we see each other again?	අපි නැවත එකිනෙකා දකින්නේ කවදාද?
When did she leave the classroom?	ඇය පන්ති කාමරයෙන් පිටව ගියේ කවදාද?
When did she promise to meet him?	ඇය ඔහුව හමුවීමට පොරොන්දු වූයේ කවදාද?
When did your baby start talking?	ඔබේ දරුවා කතා කිරීමට පටන් ගත්තේ කවදාද?
When ice melts, it becomes water.	අයිස් දිය වූ විට එය ජලය බවට පත්වේ.
When it rains, Tom takes the bus.	වහිනකොට ටොම් බස් එක ගන්නවා.
When will your book be published?	ඔබේ පොත ප්‍රකාශයට පත් කරන්නේ කවදාද?
Whenever they meet, they quarrel.	මුණ ගැහෙන හැම වෙලාවකම රණ්ඩු වෙනවා.
Where are you going to eat lunch?	ඔබ කොහෙද දවල්ට කන්න යන්නේ?
Where did you lose your umbrella?	ඔබේ කුඩය නැති වුණේ කොහෙන්ද?
Where do I have to change trains?	මම දුම්රිය වෙනස් කළ යුත්තේ කොතැනින්ද?
Where in Austria did you grow up?	ඔස්ට්‍රියාවේ ඔබ හැදී වැඩුණේ කොහේද?
Where is the closet travel agent?	වැසිකිලි සංචාරක නියෝජිතයා කොහෙද?
Which one do you think she chose?	ඔබ සිතන්නේ ඇය තෝරාගත්තේ කුමක්ද?
Which one does Tom think is good?	ටොම් හොඳ යැයි සිතන්නේ කුමන එකද?
While there's life, there's hope.	ජීවිතයක් තිබියදී, බලාපොරොත්තුවක් ඇත.
Who did you hear that rumor from?	කාගෙන්ද ඔය කටකතාව ඇහුවේ?
Who is the woman dressed in pink?	රෝස පැහැයෙන් සැරසුණු කාන්තාව කවුද?
Who knows what's going to happen?	මොකද වෙන්නේ කියලා කවුද දන්නේ?
Who lives in the house next door?	අල්ලපු ගෙදර කවුද ඉන්නේ?
Who taught Tom how to bake bread?	ටොම්ට පාන් පුළුස්සන ආකාරය ඉගැන්වූයේ කවුද?
Who was that man waiting outside?	ඒ මනුස්සයා කවුද එළියේ බලාගෙන හිටියේ?
Who's the girl Tom is talking to?	ටොම් කතා කරන ගැහැණු ළමයා කවුද?
Whose house is across from yours?	ඔබේ නිවසට එපිටින් තිබෙන්නේ කාගේ නිවසද?
Why are you going back to Boston?	ඔබ ආපසු බොස්ටන් යන්නේ ඇයි?
Why did you buy this kind of car?	ඔබ එවැනි මෝටර් රථයක් මිලදී ගත්තේ ඇයි?
Why did you buy travel insurance?	ඔබ සංචාරක රක්ෂණයක් මිලදී ගත්තේ ඇයි?
Why didn't you bring an umbrella?	ඇයි කුඩයක් ගෙනාවේ නැත්තේ?
Why didn't you read the magazine?	ඇයි ඔබ සඟරාව කියෙව්වේ නැත්තේ?
Why do you need a new television?	ඔබට නව රූපවාහිනියක් අවශ්ය වන්නේ ඇයි?
Why don't we take a little break?	ඇයි අපි පොඩි විවේකයක් නොගන්නේ?
Why don't you have your bath now?	ඇයි ඔයාට දැන් නාන්න නැද්ද?
Why don't you take off your coat?	ඇයි ඔබ ඔබේ කබාය ගලවා නොගන්නේ?
Why don't you take your coat off?	ඇයි ඔබ ඔබේ කබාය ගලවා නොගන්නේ?
Why is life so full of suffering?	ජීවිතය මෙතරම් දුක් වේදනාවලින් පිරී ඇත්තේ ඇයි?
Why isn't Tom wearing a name tag?	ටොම් නම් ටැග් එකක් පැළඳ නොසිටින්නේ ඇයි?
Will he be able to come tomorrow?	එයාට හෙට එන්න පුළුවන් වෙයිද?
Will you have another cup of tea?	තව තේ එකක් බොනවද?
Will you lend me your dictionary?	ඔබ මට ඔබේ ශබ්දකෝෂය ණයට දෙනවද?
Will you try to play the trumpet?	ඔබ හොරණෑව වාදනය කිරීමට උත්සාහ කරනවාද?
Wine is poetry put into a bottle.	වයින් යනු බෝතලයකට දැමූ කවියකි.
Winter is just around the corner.	ශීත ඍතුව ආසන්නයි.
Would 8:30 be convenient for you?	8:30 ඔබට පහසු වේවිද?
Would you close the door, please?	කරුණාකර ඔබ දොර වසා දමනවාද?
Would you like me to call a taxi?	මම කුලී රථයකට කතා කරනවාට ඔබ කැමතිද?
Would you like some orange juice?	ඔබ තැඹිලි යුෂ ටිකක් කැමතිද?
Would you like to drink anything?	ඔබ යමක් බොන්න කැමතිද?
Would you like to exchange links?	ඔබ සබැඳි හුවමාරු කර ගැනීමට කැමතිද?
Would you like to go out with me?	ඔබ මා සමඟ යාමට කැමතිද?
Would you like white wine or red?	ඔබ සුදු වයින් හෝ රතු කැමතිද?
Would you mind doing the laundry?	රෙදි සෝදන්න ඔබ කැමතිද?
Would you mind shutting the door?	දොර වැහුවට කමක් නැද්ද?
Would you please take my picture?	කරුණාකර මගේ පින්තූරයක් ගන්නවද?
You can call me anytime you like.	ඔබට කැමති ඕනෑම වේලාවක මට ඇමතිය හැක.
You can consult with me any time.	ඔබට ඕනෑම වේලාවක මා සමඟ සාකච්ඡා කළ හැකිය.
You can go to the station by bus.	ඔබට බස් රථයෙන් නැවතුම්පොළට යා හැකිය.
You can make 4, 6 or 12 payments.	ඔබට ගෙවීම් 4, 6 හෝ 12 ක් කළ හැකිය.
You can stay as long as you like.	කැමති තාක් කල් ඉන්න පුළුවන්.
You can't say no to Tom, can you?	ටොම්ට එපා කියන්න බෑ නේද?
You can't see Mt. Fuji from here.	මෙතනින් ෆුජි කන්ද බලන්න බෑ.
You can't trust anything he says.	ඔහු කියන කිසිම දෙයක් විශ්වාස කරන්න බැහැ.
You don't have to apologize, Tom.	ඔබ සමාව ගත යුතු නැත, ටොම්.
You don't like chocolate, do you?	ඔයා චොකලට් වලට කැමති නෑ නේද?
You don't need to apologize, Tom.	සමාව ඉල්ලන්න ඕන නෑ ටොම්.
You forgot to turn off the light.	ඔබට ආලෝකය නිවා දැමීමට අමතක විය.
You had better go to the dentist.	ඔබ දන්ත වෛද්‍යවරයා වෙත යාම වඩා හොඳය.
You had better not go after dark.	අඳුරෙන් පසු නොයා සිටීම හොඳය.
You have something in your teeth.	ඔබේ දත්වල යමක් තිබේ.
You have the same camera as mine.	මගේ කැමරාවට සමාන කැමරාවක් ඔබ සතුව ඇත.
You have to trust your instincts.	ඔබ ඔබේ සහජ බුද්ධිය විශ්වාස කළ යුතුය.
You know I can't wait any longer.	ඔයා දන්නවා මට තවත් බලන් ඉන්න බෑ කියලා.
You may choose any book you like.	ඔබට කැමති ඕනෑම පොතක් තෝරාගත හැක.
You may stay here if you want to.	ඔබට අවශ්‍ය නම් මෙහි සිටිය හැක.
You may swim as long as you want.	ඔබට අවශ්‍ය තාක් දුරට පිහිනීමට හැකිය.
You may talk as much as you like.	ඔබට කැමති තරම් කතා කළ හැකිය.
You must make your own decisions.	ඔබ ඔබේම තීරණ ගත යුතුය.
You must not go out after dinner.	රාත්රී ආහාරයෙන් පසු ඔබ පිටතට නොයා යුතුය.
You must not jump to conclusions.	ඔබ නිගමනවලට නොයා යුතුය.
You must not smoke while working.	ඔබ වැඩ කරන අතරතුර දුම් පානය නොකළ යුතුය.
You must not touch the paintings.	ඔබ සිතුවම් ස්පර්ශ නොකළ යුතුය.
You must respect senior citizens.	ඔබ ජ්‍යෙෂ්ඨ පුරවැසියන්ට ගරු කළ යුතුයි.
You need to take care of the dog.	ඔබ බල්ලා රැකබලා ගත යුතුය.
You only imagine you've heard it.	ඔබ සිතන්නේ ඔබ එය අසා ඇති බවයි.
You ought to love your neighbors.	ඔබ ඔබේ අසල්වැසියන්ට ආදරය කළ යුතුයි.
You should fulfill your promises.	ඔබ ඔබේ පොරොන්දු ඉටු කළ යුතුයි.
You should leave there on Monday.	ඔබ සඳුදා එහි පිටත් විය යුතුය.
You should rewrite this sentence.	ඔබ මෙම වාක්‍යය නැවත ලිවිය යුතුය.
You should take care of yourself.	ඔබ ඔබ ගැන සැලකිලිමත් විය යුතුය.
You should take the number 5 bus.	ඔබ අංක 5 බස් රථයට යා යුතුය.
You should've told me in advance.	ඔයා මට කලින් කියන්න තිබුණා.
You shouldn't have paid the bill.	ඔබ බිල් ගෙවා නොතිබිය යුතුය.
You still don't like Tom, do you?	ඔයා තාම ටොම්ට කැමති නෑ නේද?
You won't need an umbrella today.	අද ඔබට කුඩයක් අවශ්‍ය නොවනු ඇත.
You'd better consult your doctor.	ඔබ ඔබේ වෛද්යවරයාගෙන් උපදෙස් ලබා ගැනීම වඩා හොඳය.
You'll never know unless you try.	ඔබ උත්සාහ නොකරන්නේ නම් ඔබ කිසි විටෙකත් නොදනී.
You're angry with me, aren't you?	ඔයා මාත් එක්ක තරහයි නේද?
You're not allowed to smoke here.	ඔබට මෙහි දුම් පානය කිරීමට අවසර නැත.
You're upset with me, aren't you?	ඔයාට මාත් එක්ක තරහයි නේද?
Your eyes are red. What happened?	ඔයාගේ ඇස් රතු වෙලා. සිදුවුයේ කුමක් ද?
Your garden needs some attention.	ඔබේ උද්යානයට යම් අවධානයක් අවශ්යයි.
Your idea sounds like a good one.	ඔබේ අදහස හොඳ එකක් වගේ.
Your secret will be safe with me.	ඔබේ රහස මා සමඟ සුරක්ෂිත වනු ඇත.
Your suggestion seems reasonable.	ඔබේ යෝජනාව සාධාරණ බව පෙනේ.
1980 was the year that I was born.	1980 තමයි මම ඉපදුණු අවුරුද්ද.
Anything else? "No, that's all."	ඊට අමතරව ඕනෑ දෙයක්? "නෑ එච්චරයි."
Are you students? "Yes, we are."	ඔබ සිසුන්ද? "ඔව් අපි තමයි."
Are you tired? "No, not at all."	ඔයාට මහන්සි ද? "නෑ, කොහෙත්ම නැහැ."
Give me another bottle, he said.	මට තව බෝතලයක් දෙන්න, ඔහු කීවේය.
I am happy, she said to herself.	මට සතුටුයි, ඇය තමාටම කියා ගත්තාය.
Is he right? "I don't think so."	ඔහු හරිද? "මම හිතන්නේ නැහැ."
May I come in? "Yes, certainly."	මම ඇතුලට එන්නද? "නිසැකවම ඔව්."
Where's Tom? "How would I know?"	ටොම් කොහෙද? "මම කොහොමද දන්නේ?"
A DNA test showed he was innocent.	DNA පරීක්ෂණයකින් පෙනී ගියේ ඔහු නිර්දෝෂී බවයි.
A ball is floating down the river.	බෝලයක් ගඟ දිගේ පාවෙමින් තිබේ.
A bat is not a bird, but a mammal.	වවුලා කුරුල්ලෙක් නොව ක්ෂීරපායියෙකි.
A bear will not touch a dead body.	වලසෙකු මළ සිරුරක් ස්පර්ශ නොකරයි.
A fallen tree obstructed the road.	ගසක් කඩා වැටී මාර්ගය අවහිර විය.
A few days' rest will do you good.	දින කිහිපයක විවේකය ඔබට යහපත් වනු ඇත.
A heavy frost is expected tonight.	අද රාත්‍රියේ දැඩි හිම පතනයක් අපේක්ෂා කෙරේ.
A man stood waving his hand to me.	මිනිසෙක් මට අත වනමින් සිටගෙන සිටියේය.
A rainbow is a natural phenomenon.	දේදුන්නක් යනු ස්වභාවික සංසිද්ධියකි.
A rose's petals are very delicate.	රෝස මල් පෙති ඉතා සියුම් ය.
A thousand dollars is a large sum.	ඩොලර් දහසක් යනු විශාල මුදලකි.
According to her, he isn't coming.	ඇයට අනුව ඔහු එන්නේ නැත.
After supper, I washed the dishes.	රාත්‍රී ආහාරයෙන් පසු මම පිඟන් සෝදා ගතිමි.
After that, I'll leave for Saigon.	ඊට පස්සේ මම සයිගොන් වලට යනවා.
Air is a mixture of several gases.	වාතය යනු වායු කිහිපයක මිශ්‍රණයකි.
All at once, I heard a shrill cry.	එකපාරටම මට ඇහුනේ මාර කෑගහන සද්දයක්.
All in all, this was a nice party.	පොදුවේ ගත් කල, මෙය හොඳ සාදයක් විය.
All sorts of people live in Tokyo.	ටෝකියෝවේ සියලු වර්ගවල මිනිසුන් ජීවත් වෙති.
All the apple trees were cut down.	සියලුම ඇපල් ගස් කපා ඇත.
All the boys in class worked hard.	පන්තියේ සියලුම පිරිමි ළමයින් වෙහෙස මහන්සි වී වැඩ කළහ.
Almost all of us can speak French.	අපි හැමෝටම වගේ ප්‍රංශ භාෂාව කතා කරන්න පුළුවන්.
Almost all the leaves have fallen.	කොළ සියල්ලම පාහේ වැටී ඇත.
Apparently, Tom doesn't like Mary.	පෙනෙන විදිහට, ටොම් මේරිට කැමති නැහැ.
Arabic is read from right to left.	අරාබි කියවන්නේ දකුණේ සිට වමට.
Are Tom and Mary both still awake?	ටොම් සහ මේරි දෙදෙනාම තවමත් අවදියෙන්ද?
Are Tom and Mary working together?	ටොම් සහ මේරි එකට වැඩ කරනවාද?
Are both Tom and Mary still awake?	ටොම් සහ මේරි දෙදෙනාම තවමත් අවදියෙන්ද?
Are eggs a good source of protein?	බිත්තර හොඳ ප්‍රෝටීන් ප්‍රභවයක්ද?
Are the police going to arrest me?	පොලිසිය මාව අත්අඩංගුවට ගන්න යනවද?
Are there any obvious differences?	පැහැදිලි වෙනස්කම් තිබේද?
Are there any souvenir shops here?	මෙහි සිහිවටන සාප්පු තිබේද?
Are you Tom Jackson by any chance?	ඔබ අහම්බෙන් ටොම් ජැක්සන්ද?
Are you also able to speak French?	ඔබටත් ප්‍රංශ භාෂාව කතා කරන්න පුළුවන්ද?
Are you concerned about swine flu?	සූකර උණ ගැන ඔබ සැලකිලිමත්ද?
Are you feeling under the weather?	ඔබට කාලගුණය යටතේ දැනෙනවාද?
Are you going to apologize to Tom?	ඔබ ටොම්ගෙන් සමාව ඉල්ලනවාද?
Are you going to eat that cupcake?	ඔයා ඔය කප්කේක් කන්න යනවද?
Are you going to meet Tom tonight?	ඔබ අද රාත්‍රියේ ටොම්ව හමුවීමට යනවාද?
Are you going to see Tom tomorrow?	ඔයා හෙට ටොම්ව බලන්න යනවද?
Are you going to the tennis court?	ඔබ ටෙනිස් පිටියට යනවාද?
Are you going to work until 10:00?	ඔබ 10.00 දක්වා වැඩට යනවාද?
Are you good at remembering faces?	මුහුණු මතක තබා ගැනීමට ඔබ දක්ෂද?
Are you interested in photography?	ඔබ ඡායාරූපකරණය ගැන උනන්දුද?
Are you joking or are you serious?	ඔබ විහිළු කරනවාද නැත්නම් ඔබ බරපතලද?
Are you making a sandwich for Tom?	ඔබ ටොම් සඳහා සැන්ඩ්විච් හදනවාද?
Are you married or are you single?	ඔබ විවාහකද නැතිනම් තනිකඩද?
Are you really going to wear that?	ඔබ ඇත්තටම එය පැළඳීමට යන්නේද?
Are you responsible for this mess?	මේ අවුලට ඔබ වගකිව යුතුද?
Are you saying it's not safe here?	ඔබ කියන්නේ මෙතන ආරක්ෂිත නැහැ කියලද?
Are you saying that Tom was right?	ඔබ කියන්නේ ටොම් හරි කියලද?
Are you still doing your homework?	ඔබ තවමත් ඔබේ ගෙදර වැඩ කරනවද?
Are you still in contact with Tom?	ඔබ තවමත් ටොම් සමඟ සම්බන්ධතා පවත්වනවාද?
Are you still living in Australia?	ඔබ තවමත් ඕස්ට්‍රේලියාවේ ජීවත් වෙනවාද?
Are you still waiting for someone?	ඔබ තවමත් යමෙකු එනතුරු බලා සිටිනවාද?
Are you still waiting for the bus?	ඔබ තවමත් බසය එනතුරු බලා සිටිනවාද?
Are you suggesting that I'm wrong?	ඔබ යෝජනා කරන්නේ මම වැරදියි කියාද?
Are you sure Tom can speak French?	ටොම්ට ප්‍රංශ කතා කළ හැකි බව ඔබට විශ්වාසද?
Are you sure that man is a doctor?	මිනිසා වෛද්‍යවරයකු බව ඔබට විශ්වාසද?
Are you sure that's Tom's trumpet?	එය ටොම්ගේ හොරණෑව බව ඔබට විශ්වාසද?
Are you sure that's what Tom said?	ටොම් කීවේ එය බව ඔබට විශ්වාසද?
Are you sure that's what you want?	ඔබට අවශ්‍ය වන්නේ එය බව ඔබට විශ්වාසද?
Are you sure this is Tom's office?	මෙය ටොම්ගේ කාර්යාලය බව ඔබට විශ්වාසද?
Are you talking to yourself again?	ඔබ නැවතත් ඔබටම කතා කරනවාද?
Are you through reading this book?	ඔබ මෙම පොත කියවා අවසන්ද?
Are you worried about your grades?	ඔබේ ශ්‍රේණි ගැන ඔබ කනස්සල්ලෙන්ද?
Aren't you going to say something?	ඔයා මොකුත් කියන්න යන්නෙ නැද්ද?
At last, he realized his mistakes.	අන්තිමේදී ඔහුට ඔහුගේ වැරදි වැටහුණා.
At last, the gem was in his hands.	අවසානයේ මැණික ඔහුගේ අතේ විය.
Be careful. The floor is slippery.	ප්රවේසම් වන්න. බිම ලිස්සන සුළුය.
Behave yourself during my absence.	මා නොමැති කාලය තුළ ඔබම හැසිරෙන්න.
Birds of a feather flock together.	කුරුල්ලෝ එක එක රැලක්.
Blood circulates through the body.	ශරීරය හරහා රුධිරය සංසරණය වේ.
Both Tom and Mary are fast asleep.	ටොම් සහ මේරි දෙදෙනාම තද නින්දේය.
Both Tom and Mary are really tall.	ටොම් සහ මේරි දෙන්නම ඇත්තටම උසයි.
Both Tom and Mary are vegetarians.	ටොම් සහ මේරි යන දෙදෙනාම නිර්මාංශිකයෝ වෙති.
Both Tom and Mary like old movies.	ටොම් සහ මේරි දෙන්නම පරණ චිත්‍රපටවලට කැමතියි.
Both Tom and Mary were very tired.	ටොම් සහ මේරි දෙදෙනාම ඉතා වෙහෙසට පත්ව සිටියහ.
Brush your teeth after every meal.	සෑම ආහාර වේලකටම පසු දත් මදින්න.
But I don't think it's at all odd.	නමුත් එය කිසිසේත්ම අමුතු දෙයක් යැයි මම නොසිතමි.
Call me if you need my assistance.	ඔබට මගේ උදව් අවශ්‍ය නම් මට කතා කරන්න.
Can I ask you a personal question?	මට ඔබෙන් පුද්ගලික ප්‍රශ්නයක් ඇසිය හැකිද?
Can I ride this horse for a while?	මට මේ අශ්වයා පිට ටිකක් පදින්න පුළුවන්ද?
Can you give me your phone number?	මට ඔබේ දුරකථන අංකය දෙන්න පුළුවන්ද?
Can you go to the office by train?	ඔබට දුම්රියෙන් කාර්යාලයට යා හැකිද?
Can you help me wash these dishes?	මේ පිඟන් සෝදන්න මට උදව් කරන්න පුළුවන්ද?
Can you pick me up at the station?	ඔයාට මාව ස්ටේෂන් එකට ගන්න පුළුවන්ද?
Can you play a musical instrument?	ඔබට සංගීත භාණ්ඩයක් වාදනය කළ හැකිද?
Can you tell me the WiFi password?	ඔබට WiFi මුරපදය මට කියන්න පුළුවන්ද?
Can you tell silver and tin apart?	ඔබට රිදී සහ ටින් වෙන්කර හඳුනාගත හැකිද?
Can't you do something to help me?	ඔයාට මට උදව්වක් කරන්න බැරිද?
Cherry blossoms are in full bloom.	චෙරි මල් පිපී ඇත.
Coincidentally enough, I know him.	අහම්බෙන්, මම ඔහුව හඳුනමි.
Cold winds blow hard every winter.	සෑම ශීත ඍතුවකම සීතල සුළං තදින් හමයි.
Come and see me any time you like.	ඔයා කැමති වෙලාවක ඇවිත් මාව බලන්න.
Come and see me at eleven o'clock.	එකොළහට ඇවිත් මාව බලන්න.
Complaining won't change anything.	පැමිණිලි කිරීමෙන් කිසිවක් වෙනස් නොවේ.
Could I get one more beer, please?	කරුණාකර මට තවත් බියර් එකක් ලබා ගත හැකිද?
Could I see your driver's license?	මට ඔබේ රියදුරු බලපත්‍රය දැකිය හැකිද?
Could you check the tire pressure?	ඔබට ටයර් පීඩනය පරීක්ෂා කළ හැකිද?
Could you help me wash the dishes?	ඔබට මට පිඟන් සෝදන්න උදව් කළ හැකිද?
Could you please lower your voice?	කරුණාකර ඔබේ හඬ පහත් කළ හැකිද?
Could you tell me your name again?	ඔබට ඔබේ නම නැවත මට කියන්න පුළුවන්ද?
Could you translate this sentence?	ඔබට මෙම වාක්‍යය පරිවර්තනය කළ හැකිද?
Could you wrap them up separately?	ඔබට ඒවා වෙන වෙනම ඔතා ගත හැකිද?
Could you write that down, please?	කරුණාකර ඔබට එය ලියා තැබිය හැකිද?
Cows are sacred animals to Hindus.	ගවයින් හින්දු භක්තිකයන්ට පූජනීය සතුන් වේ.
Did I miss something this morning?	අද උදේ මට යමක් මග හැරුණාද?
Did anybody call on you yesterday?	ඊයේ කවුරුහරි ඔබට කතා කළාද?
Did someone sleep here last night?	ඊයේ රෑ මෙතන කවුරුහරි නිදාගත්තද?
Did you eat anything this morning?	ඔයා අද උදේ මොකුත් කෑවද?
Did you enjoy the party yesterday?	ඔබ ඊයේ සාදයෙන් සතුටක් ලැබුවාද?
Did you go to Cairo or Alexandria?	ඔබ කයිරෝ හෝ ඇලෙක්සැන්ඩ්‍රියාවට ගියාද?
Did you see the eclipse yesterday?	ඔබ ඊයේ සූර්යග්‍රහණය දුටුවාද?
Did you see yesterday's fireworks?	ඊයේ ගිනිකෙළි දැක්කද?
Did you study hard in high school?	ඔබ උසස් පාසලේ වෙහෙස මහන්සි වී ඉගෙන ගත්තාද?
Didn't you know that Tom was here?	ටොම් මෙහි සිටින බව ඔබ දැන සිටියේ නැද්ද?
Do I have to stay in the hospital?	මට රෝහලේ සිටීමට අවශ්ය ද?
Do I really have to give a speech?	මම ඇත්තටම කතාවක් දිය යුතුද?
Do not oversleep tomorrow morning.	හෙට උදේ වැඩිපුර නිදාගන්න එපා.
Do you have a non-smoking section?	ඔබ ළඟ දුම් පානය නොකරන කොටසක් තියෙනවාද?
Do you have any further questions?	ඔබට තවත් ප්‍රශ්න තිබේද?
Do you have any plans for tonight?	අද රාත්‍රිය සඳහා ඔබට සැලසුම් තිබේද?
Do you have any travelers' checks?	ඔබ සතුව සංචාරක චෙක්පත් තිබේද?
Do you have anything hot to drink?	ඔබට උණුසුම් බීමට යමක් තිබේද?
Do you know how to use a computer?	පරිගණකයක් භාවිතා කරන්නේ කෙසේදැයි ඔබ දන්නවාද?
Do you know what Tom is doing now?	ඔයා දන්නවද ටොම් දැන් මොකද කරන්නේ කියලා?
Do you know when Tom will be back?	ටොම් නැවත එන්නේ කවදාදැයි ඔබ දන්නවාද?
Do you know when they will arrive?	ඔවුන් පැමිණෙන්නේ කවදාදැයි ඔබ දන්නවාද?
Do you like the new school better?	ඔබ නව පාසලට වඩා කැමතිද?
Do you mind if I turn down the TV?	මම රූපවාහිනිය ප්‍රතික්ෂේප කළොත් ඔබට කමක් නැද්ද?
Do you often listen to audiobooks?	ඔබ නිතරම ඕඩියෝ පොත්වලට සවන් දෙනවාද?
Do you plan to go to Tokyo by bus?	ඔබ බස් රථයකින් ටෝකියෝ වෙත යාමට අදහස් කරනවාද?
Do you really think that it's bad?	එය නරක යැයි ඔබ ඇත්තටම සිතනවාද?
Do you remember what Tom was like?	ටොම් මොන වගේ කෙනෙක්ද කියලා ඔයාට මතකද?
Do you see what I'm talking about?	මම කතා කරන දේ ඔබට පෙනෙනවාද?
Do you suppose it will rain today?	අද වැස්සක් වැටෙයි කියලා හිතනවද?
Do you think Tom can speak French?	ටොම්ට ප්‍රංශ භාෂාව කතා කළ හැකි යැයි ඔබ සිතනවාද?
Do you think Tom is still at home?	ඔබ සිතන්නේ ටොම් තවමත් නිවසේ සිටින බව ද?
Do you think that I look like Tom?	ඔයා හිතන්නේ මම ටොම් වගේ කියලද?
Do you think that I talk too much?	ඔයා හිතන්නේ මම වැඩිය කතා කරනවා කියලද?
Do you think that dress suits her?	ඒ ඇඳුම ඇයට ගැළපෙන බව ඔබ සිතනවාද?
Do you think that my work is easy?	ඔයා හිතනවද මගේ වැඩේ ලේසියි කියලා?
Do you understand what I'm saying?	මම කියන දේ ඔබට තේරෙනවාද?
Do you want to meet up after work?	ඔබට රැකියාවෙන් පසු හමුවීමට අවශ්‍යද?
Do you want to play hide and seek?	ඔබට සැඟවී සෙල්ලම් කිරීමට අවශ්‍යද?
Does anybody in your family smoke?	ඔබේ පවුලේ කවුරුහරි දුම් පානය කරනවාද?
Does it snow much in your country?	ඔබේ රටේ බොහෝ හිම වැටෙනවාද?
